text,value,n
the 1970s,197X,75716
the 1980s,198X,74687
the 1960s,196X,73535
the 1990s,199X,59088
the 1950s,195X,58474
the 1930s,193X,45498
the 1920s,192X,37488
the 1940s,194X,23512
the early 1990s,199X,21486
the early 1980s,198X,16505
1960s,196X,12472
the 1880s,188X,12234
the 2000s,200X,11360
the 1890s,189X,10785
the mid-1990s,199X,10533
1990s,199X,10520
the 1870s,187X,9832
the mid-1980s,198X,9673
the early 2000s,200X,9281
the late 1990s,199X,8843
the early 1970s,197X,8812
the 1860s,186X,8783
the 1850s,185X,8396
the early 1950s,195X,8104
1980s,198X,7896
1950s,195X,7790
1930s,193X,7620
the mid-1970s,197X,7572
the early 1900s,190X,6865
the 1840s,184X,6638
the mid-1960s,196X,6586
the 1830s,183X,6481
1970s,197X,5580
the mid-1950s,195X,4673
the early 1920s,192X,4338
the 1820s,182X,3897
2000s,200X,3690
the 1910s,191X,3577
the 2010s,201X,3407
the 1800s,180X,3024
1920s,192X,2952
the mid-1930s,193X,2897
the late 1980s,198X,2859
the early 1940s,194X,2749
the mid-2000s,200X,2548
the 1900s,190X,2343
the early 1960s,196X,2178
1940s,194X,2094
the mid-1920s,192X,2092
the late 2000s,200X,2060
the 1790s,179X,1854
the late 1950s,195X,1735
the 1780s,178X,1489
the 1770s,177X,1329
the mid-1940s,194X,1324
the end of the 1980s,198X,1297
the early 1890s,189X,1296
1880s,188X,1284
the late 1940s,194X,1263
the early 1870s,187X,1209
the 1760s,176X,1207
the early 1930s,193X,1176
the late 1870s,187X,1171
1870s,187X,1128
The 1980s,198X,1113
the mid 1990s,199X,1082
2010s,201X,1044
the end of the 1970s,197X,1041
the end of the 1990s,199X,1026
the early 2010s,201X,1023
the 1750s,175X,1020
The 1970s,197X,1013
the end of the 1960s,196X,1003
The 1990s,199X,978
the 1700s,170X,959
The 1960s,196X,952
the 1730s,173X,875
the late 1920s,192X,869
the 1740s,174X,843
the 1600s,160X,817
the 1630s,163X,808
the 1720s,172X,798
the end of the 1950s,195X,762
the mid-1880s,188X,759
early 1990s,199X,757
the mid-1800s,180X,747
1840s,184X,742
the late 1970s,197X,718
the 1640s,164X,714
the 1660s,166X,706
1830s,183X,687
the 1650s,165X,676
1890s,189X,665
The 1950s,195X,654
the late 1830s,183X,651
the beginning of the 1990s,199X,644
the mid-1890s,189X,611
the 1620s,162X,604
the 1680s,168X,587
the mid-1850s,185X,581
the 1690s,169X,573
the early 1830s,183X,564
the 1670s,167X,550
early 1980s,198X,535
the 1530s,153X,513
early 2000s,200X,505
the mid-1870s,187X,500
the end of the 1920s,192X,486
the mid-1860s,186X,477
the 1500s,150X,474
the early 1910s,191X,471
the end of the 1930s,193X,462
1910s,191X,459
mid-1970s,197X,455
the mid 2000s,200X,455
the beginning of the 1980s,198X,450
the 1540s,154X,448
the 1580s,158X,443
The 1930s,193X,441
1900s,190X,433
the 1520s,152X,430
the 1590s,159X,423
mid-1960s,196X,418
the 1560s,156X,415
1860s,186X,415
the mid 1980s,198X,408
the 1570s,157X,399
The 1920s,192X,397
the 1550s,155X,378
1850s,185X,370
the beginning of the 1970s,197X,353
the mid-2010s,201X,351
the 1810s,181X,349
the mid 1950s,195X,346
the early 1700s,170X,335
the late 1890s,189X,328
the early 1880s,188X,328
the end of the 1940s,194X,326
the early 1600s,160X,307
the beginning of the 1960s,196X,295
the mid-1840s,184X,293
the mid-1830s,183X,290
the mid-1900s,190X,281
the early 1800s,180X,275
the late 1800s,180X,265
Beginning in the 1970s,197X,250
The 2000s,200X,249
The 1940s,194X,241
the mid 1970s,197X,234
mid-2000s,200X,230
mid-1950s,195X,224
the early 1860s,186X,223
the late 1880s,188X,221
Beginning in the 1960s,196X,213
the 1470s,147X,212
the 1480s,148X,212
beginning in the 1970s,197X,210
the second half of the 1980s,198X,209
the early 1850s,185X,202
Beginning in the 1980s,198X,202
the beginning of the 2000s,200X,202
early 1950s,195X,198
the 2020s,202X,192
the mid-1910s,191X,191
the 1330s,133X,191
Beginning in the 1950s,195X,190
the 1490s,149X,188
the 1460s,146X,183
beginning in the 1950s,195X,181
the 1260s,126X,176
the late 2010s,201X,174
the first half of the 1990s,199X,173
the 1230s,123X,172
the,199X,172
the beginning of the 1950s,195X,171
beginning in the 1960s,196X,171
the 1430s,143X,171
the second half of the 1990s,199X,170
the beginning of the 1930s,193X,169
the early 1790s,179X,168
1800s,180X,167
the early 1840s,184X,167
the 1340s,134X,165
the 1370s,137X,164
the mid-1700s,170X,161
the early 1770s,177X,161
beginning in the 1980s,198X,159
the 1440s,144X,154
early 1900s,190X,153
Beginning in the 1990s,199X,152
the 1380s,138X,147
the 1420s,142X,147
the 1400s,140X,147
mid-1930s,193X,146
the 1220s,122X,145
the 1450s,145X,143
the 1360s,136X,139
the mid-1820s,182X,139
the 1320s,132X,139
the 1300s,130X,138
The 1880s,188X,137
beginning in the 1990s,199X,136
the 1350s,135X,134
The early 1990s,199X,132
1820s,182X,130
the late 1960s,196X,129
the first half of the 1980s,198X,129
the 1280s,128X,129
the,198X,128
the late 1860s,186X,127
the early 1500s,150X,124
the early 1780s,178X,122
the 1270s,127X,122
the start of the 1990s,199X,120
the first decade of the 2000s,200X INTERSECT PXY,120
the middle of the 1990s,199X,120
the 1250s,125X,119
early 1870s,187X,119
the 1390s,139X,117
the second half of the 1970s,197X,114
beginning in the 1930s,193X,114
the 1170s,117X,113
the 1240s,124X,113
the 1980s before,198X,112
the second half of the 1960s,196X,111
the first half of the 1970s,197X,111
the end of the 1880s,188X,111
the 1290s,129X,110
the middle of the 1970s,197X,110
1790s,179X,110
beginning in the 1920s,192X,109
the late 1850s,185X,109
the 1160s,116X,109
the 1180s,118X,108
the,192X,107
The 1890s,189X,107
the,193X,106
1780s,178X,105
the early 2020s,202X,105
the 1970s before,197X,104
the beginning of the 1900s,190X,103
the beginning of the 1920s,192X,102
the 1710s,171X,101
the 1990s before,199X,101
the 1130s,113X,100
the mid 2010s,201X,100
the middle of the 1980s,198X,100
the 1070s,107X,100
the 1200s,120X,99
1700s,170X,99
Beginning in the 1930s,193X,97
the,197X,97
the end of the 1800s,180X,97
1770s,177X,97
the 2030s,203X,96
the start of the 1980s,198X,95
The 2010s,201X,95
the mid-1600s,160X,94
the,195X,92
the,196X,92
the end of the 1870s,187X,92
the 1190s,119X,92
the 1150s,115X,90
the end of the 2000s,200X,87
1760s,176X,86
The early 1980s,198X,85
early 1970s,197X,85
the second half of the 1930s,193X,85
the latter half of the 1980s,198X,85
the 1960s before,196X,84
Beginning in the 1920s,192X,84
the late 1700s,170X,82
the middle of the 1960s,196X,82
the 1120s,112X,82
the early 1820s,182X,82
the first half of the 1960s,196X,81
1750s,175X,80
the mid 1870s,187X,80
the late 1930s,193X,80
the 1610s,161X,80
1000s,100X,80
the end of the 1890s,189X,80
mid-1920s,192X,79
1740s,174X,79
the latter half of the 1990s,199X,79
the mid 1960s,196X,79
the start of the 1970s,197X,78
The early 2000s,200X,78
the early 1760s,176X,78
the 1140s,114X,77
The 1860s,186X,77
The late 1990s,199X,76
the end of the 1860s,186X,76
mid-1990s,199X,75
The 1850s,185X,74
the late 1910s,191X,72
The 1870s,187X,71
beginning in the 1940s,194X,71
the second half of the 1920s,192X,70
mid-2010s,201X,70
the 1950s before,195X,70
the middle of the 1930s,193X,70
the first decade of the 1900s,190X INTERSECT PXY,70
the 1050s,105X,69
the second half of the 1950s,195X,69
early 1960s,196X,69
the late 1840s,184X,69
the early 1730s,173X,68
the early 1630s,163X,68
early 1830s,183X,67
1630s,163X,67
the start of the 1960s,196X,66
the mid-1790s,179X,66
the 1040s,104X,65
the mid 1920s,192X,65
1600s,160X,65
early 1940s,194X,64
the mid-2020s,202X,64
the middle of the 1950s,195X,63
