text,n
alternate,3
every 19th-century,1
20th Century,700
20th century,492
twentieth century,80
alternate eighteenth century,1
each 14th-century,1
the 19th century,7065
the 15th century,1858
21st century,193
the twentieth century,1007
the beginning of the 6th century,11
the 13th century,1935
the 6th century,598
the 17th century,2995
19th-century,1783
the late 20th century,681
the 20th century,4966
the 1st century BC,183
and 14th century,24
the 16th century,2748
the 18th century,3446
the mid 21st century,5
the middle of the 17th century,86
the first half of the 17th century,56
the 21st century,1596
the early 20th century,2532
the 10th century,732
the end of the 19th century,899
the 12th century,1677
14th century,219
17th-century,660
the beginning of the nineteenth century,35
the early 19th century,1382
the early 9th century,56
and 18th century,101
mid 20th century,33
2nd century AD,38
nineteenth-century,306
the 4th century,567
the 4th century BC,168
the 8th century BC,65
19th century,1034
the 1st century,342
the 20th Century,300
4th century BC,37
the 2nd century,368
the late 19th century,2194
the 2nd century BC,130
the fifteenth century,211
the early 18th century,404
12th-century,246
the second half of the 20th century,272
the 5th century AD,59
The fifth-century,6
the 19th-century,325
sixth-century,27
18th-century,882
the late 12th century,125
early 13th century,25
the late seventeenth century,43
the early twentieth century,454
the late 15th century,217
the end of the 18th century,366
The 19th century,110
the early 17th century,397
early 19th-century,152
15th-century,351
the beginning of the 21st century,125
the 11th-century,80
the middle of the 2nd century BC,5
beginning in the 5th century,3
9th-century,96
the 9th century,686
the fifth century BC,33
the early 13th century,155
the late 2nd century,36
earlier 3rd century,1
the first quarter of the 13th century,1
the end of the 16th century,169
the beginning of the 20th century,652
the early fourth century,7
the nineteenth century,1158
the early nineteenth century,180
18th century,455
the early first half of the thirteenth century,1
the middle of the eighteenth century,16
the 4th-century BC,5
and 20th century,106
late 19th century,156
the end of 19th century,27
the 14th century,1666
the sixteenth century,367
the late 13th century,149
the first half of the 20th century,438
the first half of the 16th century,45
the 8th-century,28
the end of the 3rd century,32
the middle of the 20th century,180
the tenth century AD,6
the end of the 17th century,186
tenth-century,39
3rd century,87
the middle twentieth century,2
The Twentieth Century,10
the beginning of the 19th century,244
Twentieth Century Fox,24
the 7th century BC,84
2nd century BC,37
early 20th century,631
the early 20th Century,70
the 14th-century,152
the seventeenth century,355
the third quarter of the thirteenth century,1
16th-century,479
the sixth century,142
late in the nineteenth century,5
early in the 20th century,79
the second half of the 14th century,42
the tenth century,126
13th century BC,12
the start of the 20th century,202
twelfth century,14
the 4th century b.c.,1
the eleventh century,111
the late 18th century,795
twentieth-century,170
7th-century BC,4
ninth century,10
the 7th century,552
the 15th-century,80
the 13th Century,35
20th-century,742
the start of the 14th century,8
the twelfth century,179
the second century,103
The eighteenth century,12
11th century,133
the tenth-century,29
and 5th century BC,1
the second half of the 19th century,301
the late 11th century,64
Early in the 20th century,39
the seventh century BC,16
21st Century Fox,23
the first half of the 11th century,12
early 19th century,274
20th-Century,17
the 3rd century,405
1st century,83
4th century AD,26
the first half of the nineteenth century,44
the end of the 20th century,234
eighteenth century,72
the beginning of the 17th century,86
the late 21st century,4
the 11th century,995
the mid 19th century,192
the 14th Century,27
2nd-century,66
the 5th century BC,147
late fifteenth-century,1
15th century,232
the early 15th century,167
13th-century,282
the 13th-century,98
the late 14th century,138
late 13th-century,18
the 5th century,520
the second quarter of the 9th century,4
early twentieth century,92
seventeenth century,57
the eighteenth century,498
17th century,340
late in the 19th century,29
the 18th-century,199
the 13th century BC,16
the late 5th century,24
The 4th-century,7
the beginning of the 16th century,73
the late nineteenth century,368
the early 8th-century,1
seventeenth-century,117
later 17th century,12
the dawn of the 20th century,8
the end of the 10th century,38
the end of the 6th century,30
the middle of the fifteenth century,15
13th century,251
the eighth century,120
late 19th-century,95
about the sixth century BC,2
the start of the 16th century,13
the 9th century AD,31
the late 4th century,54
the late fifteenth century,21
the sixteenth-century,28
early the 7th century,1
the middle of the 19th century,276
early 20th-century,170
early in the 19th Century,1
and 15th century,22
and 19th century,128
the early 5th century,65
the late 16th century,280
eleventh-century,23
the early 1st century,12
and 3rd century,9
the first half of the 19th century,189
14th-century,294
the first half of the twentieth century,131
the 17th-century,197
the fourth century,159
early 4th century,7
early third century,1
Eighteenth-century,17
the early 8th century,45
the seventh century,141
6th century,147
The 17th century,54
the end of the 14th century,94
early 15th century,46
the late 8th century,51
Early in the twentieth century,4
the early eighteenth-century,2
The 20th century,76
the middle of the sixth century,6
Nineteenth-century,33
the,62
The Nineteenth Century,7
16th century,335
the end of the first century AD,5
the fourteenth century,166
the end of the eighteenth century,44
the 7th-century,33
10th-century,108
the 1st century AD,195
the latter half of the 19th century,83
and 8th century,12
the late 8th century AD,1
the first half of the 18th century,67
the early 14th century,146
the 2nd century B.C.,4
the middle of the 18th century,95
the beginning the 20th century,1
the 5th century B.C.,5
the eighth-century,14
early 16th century,51
eighteenth-century,154
the early 10th century,40
the 8th century,473
beginning of the 14th century,3
the early 4th century AD,4
the beginning of 20th century,17
the 21st Century,230
19th Century,64
10th century,115
the second half of the 16th century,72
the late twentieth century,91
the early 16th century,310
early 14th century,41
the early 2nd century AD,8
7th-century,87
the seventh century AD,6
21st-century,179
the end of twentieth century,1
the 17th Century,56
eighth century,16
the late 17th century,329
the 1st Century,3
the end of the sixteenth century,24
the first quarter of the 19th century,16
earlier twentieth century,2
the early 5th century BC,7
the early second century BC,3
middle 19th century,2
the late eighteenth century,111
the second half of the twentieth century,75
The 18th-century,42
the Twentieth Century,77
the middle of the 3rd century,14
11th-century,139
the beginning of the fourth century,5
the first century BC,63
the late 4th-century,2
the 3rd century AD,64
the beginning of the 14th century,44
the second-century AD,3
the first century,180
the beginning of the fourteenth century,9
the first half of the 15th century,28
the 12th-century,98
early 18th century,62
the end of the 11th century,38
late 15th century,10
beginning of the 20th century,19
late 9th century,3
20th Century Fox Records,8
The 18th century,60
the early thirteenth century,16
the 6th century A.D.,4
the latter half of the 20th century,106
the second half of the 18th century,111
the late eleventh century,11
the 16th-century,174
the end of the twelfth century,18
sixteenth-century,90
late 20th-century,25
the mid 20th century,145
late 4th century,7
early 9th century,13
the beginning of the seventeenth century,13
nineteenth century,211
the end of the tenth century,8
The early 19th century,11
twelfth-century,67
the 20th-century,103
about the 8th century,7
century A.D.,1
early twentieth-century,35
middle 20th Century,1
Twentieth Century,105
the fifteenth-century,15
Early in the 11th century,3
early 11th century,12
the 2nd century AD,120
The late 12th century,3
the 26th century,5
the 19th Century,154
7th century,112
second century,32
and 13th century,32
and ninth century,1
4th century,110
eighth-century,27
the 4th century AD,62
the 11th Century AD,2
the first quarter of the 20th century,26
the beginning of the eighteenth century,7
later 20th century,58
the 2nd-century,58
the late eighth century,14
the beginning of the tenth century,3
the late 18th-century,10
the mid 7th century AD,4
Beginning in the nineteenth century,2
the end of the nineteenth century,155
the second half of the 17th century,61
the end of 18th century,11
Huszadik Század -LRB-Twentieth Century,1
late 18th century,62
the first half of the 20th Century,16
the 25th Century,20
middle of the 20th century,4
the third century,107
the late eighth century BC,1
The 9th-century,8
the end of the 15th century,128
Late 19th century,4
the late sixteenth century,32
the Sixteenth Century,16
the beginning of the 18th century,100
fourth-century,19
19th-Century,10
the sixth century AD,17
The 11th century,21
late 12th-century,9
late 17th century,29
the beginning of the twentieth century,96
The Nineteenth-Century,1
the early 1st century BC,9
the 6th century BC,121
the 14th century BC,18
the ninth century,136
the late 22nd century,4
middle of the 17th century,3
the late 19th-century,32
the end of the 5th century,29
early nineteenth century,36
The 21st Century,17
the early 21st century,387
the start of the 18th century,18
the early 3rd century,28
and 19th Century,1
the early 12th century,105
Late 9th-century,1
The 15th century,26
the late 2nd century AD,7
beginning in the 17th century,10
the early eighteenth century,64
later 18th-century,4
the fifth century AD,10
2nd-century BC,4
the first half of the fifth century,2
the 16th century AD,6
5th century,120
the early twelfth century,12
the early seventeenth century,44
mid 19th century,15
the second half of the nineteenth century,56
early 11th-century,3
the early 11th century,76
3rd century BC,42
"the first half of the eleventh century, may",1
15th Century,4
the end of the 12th century,107
The twentieth century,12
the second half of the 10th century,18
late in the 2nd century BC,1
earlier 1st-century,1
and eighteenth century,12
the Nineteenth Century,56
the late fourth century,15
the end of the 8th century,32
the 3rd century BC,155
early 17th-century,30
early in the 19th century,42
The 16th-century,39
the mid 18th century,69
2nd century,100
the second half of the eighteenth century,27
the eighteenth century BC,2
the middle of the 15th century,31
Beginning in the 7th century,3
the latter half of the nineteenth century,17
National Register of 19th Century Theaters,1
the late 7th century,42
the middle of the thirteenth century,9
the 21st-century,23
the end of the 13th century,96
Early in the 2nd century,1
the early 7th century,42
the middle of the 9th century,19
8th century BC,27
and 11th century,16
the beginning of the 15th century,47
early 17th century,61
about 5th century,1
the 10th century BC,15
beginning in the 13th century,6
beginning in the fourteenth century,4
the third century AD,21
later fifteenth century,6
the early 3rd century AD,6
1st century BC,47
the mid 13th century,10
Early in the 19th century,17
the beginning of the 3rd century,21
the middle of the twentieth century,32
the twelfth-century,38
The second century,3
6th century AD,16
5th-century,78
the latter half of the 4th century,1
and second century,1
the fifth century B.C.,3
9th century,89
the end of fifteenth century,1
the second century AD,31
tenth century,14
fourth century,24
the fourth century A.D.,4
12th century,229
1st-century,55
4th-century,62
and 16th century,34
the Third Century,29
the Sixteenth century,3
the 4th-century,44
the 1st-century,22
the first-century,8
and 10th century,11
the latter half of the 17th century,15
Beginning in the 19th century,11
The,6
Beginning in the 8th century,5
the fourth century BC,30
the start of the 21st century,49
the end of 17th century,13
the second century BC,28
8th century,102
the latter half of the 15th century,5
the 16th Century,50
the 12th Century,28
the end of the 1st century,22
beginning in the 19th century,13
Twentieth-Century,25
the end of 20th century,1
the first half of the 9th century,7
the late 19th Century,42
the second half of the 7th century BC,1
the third century BC,31
early eighteenth century,9
early 16th century BC,1
the end of the 2nd century,31
the 9th-century,45
21st Century,150
3rd-century,36
about 20th century,3
early in the 18th century,18
and 21st century,59
the latter half of the twentieth century,28
late in the 14th century,1
the start of the 12th century,5
later 19th century,64
The early 20th-century,2
the late 9th century,55
Eighteenth century,6
and Sixteenth century,1
the eighteenth-century,36
the late sixth century,6
mid 18th century,8
the thirteenth century,221
the fourth-century,15
the middle of the 14th century,41
the fourteenth-century,22
21st Century Entertainment,4
fourteenth-century,54
The 4th century BC,2
The 12th-century,22
The beginning of the 18th century,1
later 18th century,30
beginning in the 16th century,6
the middle of the 12th century,20
nearly the 18th century,1
The 20th-century,20
the late twentieth-century,3
the first half of the 13th century,24
beginning of 6th century,1
early 12th century,20
the nineteenth-century,46
the sixth century BC,34
first century,69
the eleventh-century,22
the early 1st century AD,6
the early 6th century,38
early in the twentieth century,11
7th century BC,16
and twentieth century,15
the 8th century AD,20
Nineteenth Century,21
the middle of the 13th century,54
the end of the 19th Century,18
the first century AD,56
the 5th-century BC,6
The first century,5
early 21st century,72
the fifth century,125
the 14th Century A.D.,1
early in the 13th century,9
the 6th-century,39
the fifth-century BC,2
fifteenth century,21
the late 2nd century BC,9
the start of eleventh century,1
the 13th century AD,10
about 17th century,2
the mid nineteenth century,29
1st century AD,21
the early 17th-century,5
and 20th Century,6
the mid 16th century,36
the start of the 19th century,49
3rd century AD,19
thirteenth century,22
late 16th century,30
about the 19th century BC,1
the 5th-century,35
The nineteenth century,21
the late 4th century AD,5
the first half of the 12th century,18
later 19th-century,4
the second half of the 11th century,13
the 8th century A.D.,2
about the fifteenth century,1
the early 21st-century,1
6th-century,109
early 4th century BC,1
the 12th century AD,19
the 15th century BC,19
and nineteenth century,14
the beginning of the second century,7
later nineteenth century,20
the early 20th-century,31
early 3rd century,11
20th Century Fox,41
the eighth century AD,6
the first quarter of the 15th century,5
the first half of the seventh century,2
the second half of nineteenth century,1
the ninth-century,12
the early 19th Century,22
early 20th Century,16
the first half of the fourth century,2
Fifteenth-century,4
the mid 16th-century,1
20th Century Records,4
the Fourth Century,2
the early 10th century AD,1
the late 6th century,45
third-century,15
The 16th century,34
the end of ninth century,1
The late 20th century,13
the 15th Century,33
the 18th Century,70
the end of the twentieth century,42
The mid 18th century,1
the middle of the 26th century BC,1
the middle of the eleventh century BC,1
the first half of the 8th century BC,2
the 11th century BC,16
The 17th-century,25
second half of the 16th century,1
the mid 17th century,47
The 19th-century,66
early in the nineteenth century,6
the early fifth century,15
late 20th century,55
the third quarter of the 20th century,3
the last half of the 18th century,1
the 11th Century,13
late 7th century,12
the mid 12th century,12
the 32nd century,3
the end of the seventeenth century,34
the early second century AD,4
late 13th century,12
late eighteenth century,7
the third quarter of the 20th Century,2
late third-century,1
late second century,4
Late in the 19th century,12
second half of the 17th century,2
First century,3
the end of the fourth century BC,1
late 17th-century,23
the sixth-century,10
the twentieth-century,23
6th century BC,40
the second half of the 1st century,6
late 12th century,15
the beginning of the 8th century,13
the 7th century AD,42
the middle of the 8th century,12
The 8th-century,5
The 13th-century,22
the 31st century BC,1
the late 16th-century,6
fourth century AD,6
the beginning of the 13th century,47
12th Century,11
late 15th-century,10
the end of the fourth century,15
later 12th century,5
the early 17th Century,6
the end of the 9th century,32
and 6th century AD,1
later 4th century,9
early nineteenth-century,8
the end of the 20th Century,7
about the 5th century,6
The second half of the sixth century,3
the 4th Century,6
"14th century, 1 January",1
the late 12th Century,5
the beginning of the 10th century,21
4th century B.C.,1
20th Century Fox Home Entertainment,5
fifteenth-century,55
the 6th century B.C.,4
early 16th-century,22
the third quarter of the 19th century,3
5th Century,6
early 13th century AD,2
the middle of the nineteenth century,46
The 3rd century,5
The late 6th-century,2
middle of the 7th century,1
the middle 17th century,4
early 7th-century,3
the middle of the sixteenth century,13
the second half of the 15th century,30
About the middle of the eighteenth century,1
the middle of the 16th century,50
the beginning of 18th Century,1
beginning of 20th century,4
the end of the second quarter of the fifteenth century,1
the second half of the 8th century,4
mid twentieth century,7
5th century B.C.,1
the 32nd century BC,1
the latter half of the 16th century,8
the mid 9th century,11
the 5th Century,5
about 19th century,2
the late 10th century,52
the late first century,9
the early thirteenth-century,3
ninth-century,34
21st Century Community Learning Challenge Grant,2
the end of the 4th century,46
fourteenth century,28
first-century,32
16th Century,13
The tenth-century,5
the thirteenth-century,23
the seventeenth-century,28
later 13th century,4
the twelfth century AD,7
the end of the 7th Century,1
the late fourteenth century,12
early in the eighteenth century,4
the first half of the thirteenth century,7
Late in the nineteenth century,4
the second half of the 13th century,45
the beginning of 19th century,5
the end of the fifteenth century,21
third century,25
the 6th century AD,40
21st Century Museum of Contemporary Art,5
the early 12th century before,1
The early twentieth century,4
the mid 14th-century,2
the early 19th-century,32
"the end of the 20th century, the year 2000",1
the 5th Century BC,4
The 14th-century,19
the early 20th century hence,2
The eleventh-century,2
The end of the 19th century,17
the first half of the eighth century,6
the 10th Century,8
the second quarter of the 14th century,4
the middle of the second century,3
the second half of the 7th century,5
the last half of the 20th century,17
beginning of the 5th century,2
end of third century,2
the fourth century AD,20
The fourteenth century,4
the 3rd-century,15
1st-century BC,5
the late 1st century,22
sixth century,23
early seventeenth-century,4
Center for 21st Century Communities,1
The middle of the 18th century,2
the middle of the seventeenth century,10
the 12th century A.D.,3
the mid of the 19th century,3
the end of the 21st century,23
about eighteenth-century,2
the start of the twentieth century,16
8th Century A.D.,1
The dawn of the 21st century,1
the beginning the 4th century,1
about the middle of the sixteenth century,1
the 84th century,1
The 13th century,27
late in the 18th century,9
later seventeenth century,2
the 25th century BC,7
the 31st century,17
the middle of the 25th century BC,1
the late 20th Century,7
early 8th century,12
The late nineteenth century,11
later 16th century,15
five hundred years from the 7th century,1
early 21st-century,6
the end of the first century,17
the beginning of the seventh century,2
about the 10th century,7
the second half of the 12th century,32
the 30th century,24
Beginning in the 8th century BC,2
early in the 15th century,6
the beginning of 18th century,4
and seventeenth century,8
and 17th century,77
the dawn of the 19th century,2
sixteenth century,30
early 14th-century,12
the middle of the 1st century,6
early 18th-century,32
the mid 3rd century,4
late 18th-century,36
the seventh century A.D.,4
the early Nineteenth Century,2
17th-Century,2
the early fifteenth-century,2
The 6th century,6
11th century BC,3
the End of the Twentieth Century,2
late 11th century,5
the middle of the 10th century,9
2nd century A.D.,3
the mid 1st century AD,1
the late 16th Century,3
8th-century,55
the end of the 3rd century BC,6
first century BC,4
fifth-century,29
the early 15th-century,6
The 20th Century,10
fifth century,16
The second half of the 19th century,14
thirteenth-century,53
the end of the 5th century BC,10
late in the 16th century,4
The early 20th century,28
the Twentieth-Century,4
the 9th century BC,29
the beginning of the 12th century,26
the latter half of the 18th century,21
Seventeenth-century,10
fourth century BC,5
About the 4th century,1
the mid 13th Century,1
12th century A.D.,1
eleventh century,16
the middle of the 7th century,14
the 8th Century,8
25th century,1
the early 4th century,31
the end of the 17th century BC,1
the Twentieth century,5
the 26th century BC,4
Twentieth century,10
early fourteenth century,2
early 10th century,7
the middle of the 7th century BC,3
the first century B.C.,4
the tenth century BC,4
the mid 2nd century,4
the Eighteenth Century,24
the mid 14th century,20
the 17th century AD,5
second half of the nineteenth century,1
about the ninth century,2
the early sixteenth century,34
the late 17th Century,5
14th century AD,2
the beginning of 16th century,2
the start of the seventeenth century,4
the end of eighteenth century AD,1
